Position, Error, Repetition
-0.3826294, -0.02236938 , 5.441916 0.07101306 2
-0.2425232, -0.03387451 , 5.451128 0.06744274 2
-0.1891785, -0.03457642 , 5.453803 0.05470662 2
0.05581665, -0.04104614 , 5.45933 0.0723018 2
0.372467, -0.05355835 , 5.450242 0.2303825 2
0.3744202, -0.05355835 , 5.450135 0.09582959 2
0.5153503, -0.05633545 , 5.44023 0.09095088 2
0.6137085, -0.05075073 , 5.431459 0.05801564 2
0.7159729, -0.04977417 , 5.420269 0.05801564 2
0.7160034, -0.04977417 , 5.420265 0.06044554 2
Position, Error, Repetition
0.3404541, 0 , 5.413465 0.3645881 0
0.6577759, -6.103516E-05 , 5.385437 0.09119814 0
0.611145, -0.006072998 , 5.390586 0.1793133 0
0.2369995, -0.01852417 , 5.418058 0.08891132 0
0.09460449, -0.01870728 , 5.42196 0.08029985 0
-0.01937866, -0.01937866 , 5.422343 0.06383861 0
-0.1834106, -0.02505493 , 5.41849 0.06631203 0
-0.4475403, -0.02536011 , 5.402496 0.1607294 0
-0.4787292, -0.02536011 , 5.399783 0.05555094 0
-0.6700745, -0.02536011 , 5.378952 0.0850794 0
-0.8384705, -0.02536011 , 5.354996 0.1024478 0
-0.9276428, -0.02536011 , 5.340153 0.05472693 0
-1.068787, -0.02536011 , 5.313508 0.05619243 0
-1.171783, -0.02536011 , 5.291658 0.04735604 0
-1.318268, -0.021698 , 5.257066 0.04476298 0
-1.462891, -0.01483154 , 5.218813 0.04523231 0
-1.548401, -0.01467896 , 5.194063 0.1028255 0
-1.786377, -0.01467896 , 5.117029 0.03047474 0
-1.92099, -0.01467896 , 5.068216 0.03458191 0
-2.123901, -0.01470947 , 4.986803 0.04347086 0
-2.223114, -0.01605225 , 4.943458 0.03541445 0
-2.405365, -0.01608276 , 4.857672 0.04559745 0
-2.506439, -0.01480103 , 4.806636 0.04790839 0
-2.738739, -0.01351929 , 4.678545 0.07389255 0
-2.862122, -0.01351929 , 4.604898 0.03951981 0
-2.982056, -0.02142334 , 4.52833 0.0302843 0
-3.128479, -0.02160645 , 4.429137 0.03237278 0
-3.216003, -0.02163696 , 4.366487 0.09069236 0
-3.461212, -0.01522827 , 4.176476 0.06627927 0
-3.570831, -0.005187988 , 4.084454 0.0334576 0
-3.655273, 0.002105713 , 4.009998 0.1071323 0
-3.796265, 0.002044678 , 3.877959 0.1188462 0
-3.94516, 0.001953125 , 3.728145 0.1250559 0
-4.054993, 0.002868652 , 3.609779 0.1818974 0
-4.234833, 0.003051758 , 3.399608 0.1522973 0
-4.520386, 0.007110596 , 3.015623 0.08709573 0
-4.570099, 0.009368896 , 2.941027 0.1141814 0
-4.672638, 0.01190186 , 2.778219 0.2193733 0
